ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Liquid manures,ದ್ರವರೂಪಿ ಗೊಬ್ಬರಗಳು,,,,,,,,,
,Liquid paraffin wax,ದ್ರವರೂಪೀ ಪ್ಯಾರಾಫಿನ್ ಮೇಣ,,,,,,,,,
,Liquid wax,"ದ್ರವ ಮೇಣ, ನೀರು ಮೇಣ",,,,,,,,,
,Liquorice,"ಅತಿಮಧುರ, ಜೇಷ್ಠಮಧು, ಯಷ್ಠಿಮಧು, ಒಂದು ಔಷಧೀಯ ಗಿಡ",,,,,,,,,
,Lisbon,"ಲಿಸ್ಟನ್, ಬಿಜೋರಿಯ ಒಂದು ತಳಿ",,,,,,,,,
,Lister,ಬದುಹಾಕುವ ನೇಗಿಲು,,,,,,,,,
,Litchen,ಶಿಲಾವಲ್ಕ,,,,,,,,,
,Litchi,ಲಿಚ್ಚಿ ಹಣ್ಣು,,,,,,,,,
,Lithophytes,ಶಿಲಾಸಸ್ಯಗಳು,,,,,,,,,
,Little leaf disease,"ಸಣ್ಣೆಲೆರೋಗ, ಕಿರುಎಲೆರೋಗ, (ಸತುವಿನ ಕೊರತೆಯಿಂದಾಗುವ)",,,,,,,,,
,Live hedge,ಸಜೀವ ಬೇಲಿ,,,,,,,,,
,Loba (resin),ರಾಳ ರಸ,,,,,,,,,
,Lobe,ಹಾಲೆ,,,,,,,,,
,Locular,"ಕುಹರದಂಥ, ಸಣ್ಣ ಕುಹರದಂಥ",,,,,,,,,
,Locule,ಸಣ್ಣ ಕುಹರ,,,,,,,,,
,Loculicidal capsule,ಕುಹರಯುಕ್ತ ಕಾಯಿ,,,,,,,,,
,Logan berry,ಲೇಗನ್ ಬೆರ್ರಿ,,,,,,,,,
,Long,ಲಾಂಗ್ ಸಪೋಟ ಹಣ್ಣಿನ ತಳಿ,,,,,,,,,
,Long day,ದೀರ್ಘಾವಧಿ ದಿನ (14 ಗಂಟೆಗಳಿಗೂ ಹೆಚ್ಚಿನ ಅವಧಿಯ ಸೂರ್ಯನ ಬೆಳಕು),,,,,,,,,
,Long day flowering plant,ದೀರ್ಘಬೆಳಕನ್ನು ಬಯಸುವ ಹೂಗಿಡ,,,,,,,,,
,Long tailed mealy bug,ಉದ್ದಬಾಲದ ಹಿಟ್ಟು ತಗಣೆ,,,,,,,,,
,Long term storage,ದೀರ್ಘಾವಧಿ ಸಂಗ್ರಹಣೆ,,,,,,,,,
,Longan,ಲಾಂಗನ್ ಹಣ್ಣು,,,,,,,,,
,Long-day plants,ದೀರ್ಘಾವಧಿ ಬೆಳಕು ಅಪೇಕ್ಷಿಸುವ ಸಸ್ಯಗಳು,,,,,,,,,
,Looking glass tree,"ಕನ್ನಡಿ ಎಲೆ, ಚಂದ್ರಮರ",,,,,,,,,
,Looper,ಕೊಂಡಲಿ ಹುಳ,,,,,,,,,
,Looper larvae,ಕೊಂಡಲಿ ಮರಿಹುಳು,,,,,,,,,
,Loose skinned orange,ಸಡಿಲ ಸಿಪ್ಪೆಯ ಕಿತ್ತಲೆ,,,,,,,,,
,Loppers,ಕಡ್ಡಿ ಪುಳ್ಳೆಗಳು,,,,,,,,,
,Lopping,ಜೋತುಬೀಳು,,,,,,,,,
,Loquat,ಲಕ್ಕೋಟೆಹಣ್ಣು,,,,,,,,,
,Loranthus,ಬದನಿಕೆ,,,,,,,,,
,Lotus,ಕಮಲ,,,,,,,,,
,Louis bon jercy,ಲೂಯಿಬಾನ್ ಜೆರ್ಸಿ ತಳಿ,,,,,,,,,
,Love-lies bleeding,"ಚಿಲುಕೆಸೊಪ್ಪು, ಕೀಳುಹರವೆ, ಕಿರುಕೀರೆ",,,,,,,,,
,Low hanging shoot,ಕೆಳಕ್ಕೆ ಬಾಗಿ ತೂಗುವ ರೆಂಬೆ,,,,,,,,,
,Low headed tree,"ಕೆಳಮಟ್ಟದಲ್ಲಿ ಹರಡಿತ ಮರ, ಕೆಳಮಟ್ಟದ ನೆತ್ತಿಯಿಂದ ಕೂಡಿದ ಮರ",,,,,,,,,
,Lower epidermis,ಕೆಳ ಹೊರಚರ್ಮ,,,,,,,,,
,Lucerne,ಕುದುರೆ ಮಸಾಲೆ,,,,,,,,,
,Lupin,ಸೀಮೆ ಬಟಾಣಿ,,,,,,,,,
,Luscious fruit,ರಸಭರಿತ ಅತಿಸಿಹಿ ಹಣ್ಣು,,,,,,,,,
,Lye peeling,ಕುದಿವ ಕಾಸ್ಟಿಕ್ ಸೋಡಾ ದ್ರಾವಣದಲ್ಲಿ ಅದ್ದಿ ಸಿಪ್ಪೆ ಸುಲಿಯುವಿಕೆ,,,,,,,,,
,Lysigenous,"ಲಯಜನಿಕ, ಲಯಜನಿತ",,,,,,,,,
,Macadamianut,ಮೆಕಡೇಮಿಯಬೀಜ,,,,,,,,,
,Mace,"ಜಾಯಿಪತ್ರೆ, ಜಾಪತ್ರೆ",,,,,,,,,
,Macrocalyx,ಬೃಹತ್ ಪುಷ್ಪಪತ್ರ,,,,,,,,,
,Macronutrients,ಬೃಹತ್ / ಪ್ರಧಾನ ಪೋಷಕಾಂಶಗಳು,,,,,,,,,
,Macroscope,ಬೃಹತ್ ಸೂಕ್ಷ್ಮದರ್ಶಕ ಯಂತ್ರ,,,,,,,,,
,Madam russel,ದೊಡ್ಡದಿರುವ ಒಂದು ಪರಂಗಿತಳಿ,,,,,,,,,
,Madar,ಎಕ್ಕದ ಗಿಡ,,,,,,,,,
,Madras thorn,ಸೀಮೆ ಹುಣೆಸೆ,,,,,,,,,
,Madre tree,ಗ್ಲಿರಿಸೀಡಿಯಾ ಗೊಬ್ಬರದ ಗಿಡ,,,,,,,,,
,Magenta,"ಕಡುಗೆಂಪು, ಮೆಜೆಂಟ",,,,,,,,,
,Magnolia flower,"ಕೆಂಡಸಂಪಿಗೆ, ಸಂಪಿಗೆ, ಬಿಳಿಸಂಪಿಗೆ, ಮ್ಯಾಗ್ನೋಲಿಯಾ ಹೂವು",,,,,,,,,
,Mahali,ಅಡಿಕೆಕೊಳೆರೋಗ,,,,,,,,,
,Maiden hair fern,"ಹಂಸರಾಜ, ಒಂದುಬಗೆಯ ಜರೀಸಸ್ಯ",,,,,,,,,
,Main stem,ಪ್ರಧಾನ ಕಾಂಡ,,,,,,,,,
,Main stock rot,ಬಾಳೆಗೊನೆಯ ಹಿಡಿಕೆ ಕೊಳೆಯುವುದು,,,,,,,,,
,Maize,ಮುಸುಕಿನ ಜೋಳ,,,,,,,,,
,Malabar almond,ನಾಡುಬಾದಾಮಿ,,,,,,,,,
,Malabar mountain ebony,ಚಪ್ಪರದ ಮರ,,,,,,,,,
,Malabar neem wood,ಹೆಬ್ಬೇವು,,,,,,,,,
,Malabar Nightshade (Indian spinach),ಬಸಳೆ ಸೊಪ್ಪು,,,,,,,,,
,Malabar nut,ಅಡುಸೋಗೆ ಗಿಡ,,,,,,,,,
,Male bamboo,"ಕಾಗದದ ಬಿದಿರು, ಗಂಡುಬಿದಿರು",,,,,,,,,
,Male catkin,ಗಂಡು ಹೂತೆನೆ,,,,,,,,,
,Male fig (caprifig),"ಗಂಡುಅಂಜೂರ, ಕಾಡುಅಂಜೂರ",,,,,,,,,
,Male inflorescence rot,ಗಂಡುಹೂತೆನೆ ಕೊಳೆಯುವುದು,,,,,,,,,
,Male sterility,"ಗಂಡು ಬಂಜೆತನ, ಗಂಡುಬರಡುತನ",,,,,,,,,
,Malformation (witches broom),1. ಗೊಂಚಲುಸುಳಿ (ಮೊಟಗಾತಿಯಕಸಬರಿಕೆ) 2. ವಿಕೃತ ರಚನೆ,,,,,,,,,
,Mallet cutting,ಕೊಡತಿಯಾಕಾರದ ತುಂಡು,,,,,,,,,
,Malling,ಮ್ಯಾಲಿಂಗ್ ಸಂಶೋಧನಾ ಕೇಂದ್ರ,,,,,,,,,
,Malta,ಮಾಲ್ಟ ತಳಿ,,,,,,,,,
,Mame Bonsai,ಅತಿಕುಬ್ಜ ವೃಕ್ಷತಟ್ಟೆ ಕೃಷಿ,,,,,,,,,
,Mandarin,ಮ್ಯಾಂಡರಿನ್ ಕಿತ್ತಲೆ,,,,,,,,,
,Mandarin red,ಕಿತ್ತಳೆಗೆಂಪು,,,,,,,,,
,Mango hopper,ಮಾವಿನ ಜಿಗಿಹುಳು,,,,,,,,,
,Mango malformation,ಮಾವಿನ ವಿಕೃತಿ,,,,,,,,,
,Mango weevil,"ಮಾವಿನ ಓಟೆಯ ಮೂತಿಹುಳು, ಓಟೆಯ ಮೂತಿಹುಳು",,,,,,,,,
,Mangosteen,"ಮ್ಯಾಂಗೋಸ್ಟೀನ್ ಹಣ್ಣ / ಮರ (ದಪ್ಪ ಕೆಂಪು ಸಿಪ್ಪೆ) ಬಿಳಿರಸಯುತ ತಿರುಳಿನ ಹಣ್ಣಿನ, ಈಸ್ಟ್ ಇಂಡಿಯಾದ ಮರ",,,,,,,,,
,Mangosteen oil tree,"ಧೂಪದ ಮರ, ಮುಗ್ಗುಲ",,,,,,,,,
,Mangrove,"ಕಂಡಲೆ, ಉಪ್ಪುಕಾಂಡ್ಲೆ, ಸೊರಪಿನ್ನ",,,,,,,,,
,Manila hemp,"ಮನಿಲಾನಾರು, ಬಾಳೆ ನಾರು",,,,,,,,,
,Manila tamarind,ಸೀಮೆ ಹುಣೆಸೆ,,,,,,,,,
,Marcottage,ಗೂಟಿಕಟ್ಟುವುದು,,,,,,,,,
,Marginal chlorosis,ಎಲೆಯಂಚುಮಾತ್ರ ಬಿಳಿಚಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,
,Marginal plant,"ನೀರಂಚುಸಸ್ಯ, ಅಂಚಿನಸಸ್ಯ",,,,,,,,,
,Marginally entire,ಅಂಚು ಸಮಗ್ರತೆ,,,,,,,,,
,Margosa,"ಬೇವಿನ ಮರ, ಕಹಿಬೇವು, ಒಳ್ಳೆಬೇವು (ಸಾಲು ಮರವಾಗಿ ಉಪಯುಕ್ತ)",,,,,,,,,
,Marigold,"ಚೆಂಡು ಮಲ್ಲಿಗೆಹೂ, ಚೆಂಡುಹೂವು",,,,,,,,,
,Marjoram,"ಮರುಗ, ಪುದಿನ ಜಾತಿಗೆ ಸೇರಿದ ಸುಗಂಧ ಸಸ್ಯ",,,,,,,,,
,Market garden,ಮಾರಾಟಕ್ಕೆ ತರಕಾರಿ ಬೆಳೆಸಲಾಗುವ ತೋಟ,,,,,,,,,
,Marmalade,"ಮುರಬ್ಬ, ಕಿತ್ತಲೆ ಹಣ್ಣುಗಳಿಂದ ತಯಾರಿಸಿದ ಪದಾರ್ಥ",,,,,,,,,
,Marsh (Bog) garden,"ಚೌಗು ತೋಟ, ಕೆಸರು ತೋಟ",,,,,,,,,
,Marsh mint,ಚಟ್ನಿ ಮರುಗ,,,,,,,,,
,Marshy area,ಕೆಸರು ಪ್ರದೇಶ,,,,,,,,,
,Marsupium,ಹೊಟ್ಟೆಚೀಲ,,,,,,,,,
,Masculine anatomy,ಪುಲ್ಲಿಂಗ ಅಂಗರಚನಾಶಾಸ್ತ್ರ,,,,,,,,,
,Mash,ಜಜ್ಜಿ ಮಿಶ್ರಮಾಡು,,,,,,,,,
,Mass effect,"ಹೆಚ್ಚಿನ ಸಂಖ್ಯೆಯ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುವ, ಅವಿಚ್ಛಿನ್ನ ಪರಿಣಾಮ, ಒಟ್ಟಾರೆ ಪರಿಣಾಮ",,,,,,,,,
,Mast tree,ಅಶೋಕ ವೃಕ್ಷ (ಅಲಂಕಾರಿಕ ಸಾಲುಮರ),,,,,,,,,
,Master's Isle,ಭೂದೃಶ್ಯ ಮುಂದ್ವೀಪ,,,,,,,,,
,Masticatory nut,ಜಗಿಯುವ ಅಡಕೆಕಾಯಿ,,,,,,,,,
,Materation,ಊತಕಗಳಲ್ಲಿ ಘನಪದಾರ್ಥಗಳ ಸಂಗ್ರಹ,,,,,,,,,
,Mattock,ಒಂದು ತೆರೆದ ಪಿಕಾಸಿ (ಬಿತ್ತನೆಗೆ ಬಾಳೆ ಕಂದುಗಳನ್ನು ಮಿಟಿತೆಗೆಯುವ ಬಾಚಿ),,,,,,,,,
,Mature leaf,ಬಲಿತ / ಪ್ರಾಯದಎಲೆ,,,,,,,,,
,Maturity,ಬಲಿತಿರುವಿಕೆ,,,,,,,,,
,Mauritius,"ಮಾರಿಷಸ್, ಅನಾನಸು ತಳಿ",,,,,,,,,
,Mauritius,ಮಾರಿಷಸ್ ತಳಿ,,,,,,,,,
,Mauritius grass (scutch grass),ಮಾರಿಷಿಯಸ್ ಹುಲ್ಲು (ನೀರು ಹುಲ್ಲು),,,,,,,,,
,Meadow moth,ಹುಲ್ಲುಗಾವಲು ಪತಂಗ,,,,,,,,,
,Mealy,ಹಿಟ್ಟಿನಂತಿರುವ,,,,,,,,,
,Mealy bug,"ಹಿಟ್ಟಿನ ತಗಣೆ, ಬೂಷ್ಟು ತಗಣೆ",,,,,,,,,
,Measles,ಜಿರೇನಿಯಂಗೆ ಬರುವ ಒಂದು ನಂಜುರೋಗ,,,,,,,,,
,Mechanical processing,ಯಾಂತ್ರಿಕ ಸಂಸ್ಕರಣೆ,,,,,,,,,
,Mechanical scarification,ಬೀಜದ ಮೇಲೆಯಾಂತ್ರಿಕವಾಗಿ ಗೀಚುವಿಕೆ (ಬೀಜ),,,,,,,,,
,Mechanical support,ಯಾಂತ್ರಿಕ ಆಸರೆ / ಊರೆಗೋಲು,,,,,,,,,
,Medicinal herb,ಔಷಧೀಯ ಮೂಲಿಕೆ,,,,,,,,,
,Medium decorative,ಡೇರೆ ಹೂವಿನ ಒಂದು ತಳಿ,,,,,,,,,
,Medium pruning [Clean pruning (Ceylon)/down pruning (Assam)],ಸಾಧಾರಣ ಪ್ರಮಾಣದಲ್ಲಿ / ಮಧ್ಯಮ ಸವರಿಕೆ,,,,,,,,,
,Medium syrup,ಮಧ್ಯಮ ತೀಕ್ಷ್ಣ / ಸಾಧಾರಣ ಮಂದ ಪಾಕ,,,,,,,,,
,Mega spore mother cell,ಬೃಹತ್ ಬೀಜಕಣ ಮಾತೃಕೋಶ,,,,,,,,,
,Megaspore,ಬೃಹತ್ ಬೀಜಕಣ,,,,,,,,,
,Megasporogenesis,ಬೃಹತ್ ಬೀಜಕಣ ಜನನ,,,,,,,,,
,Meiosis,ಅರ್ಧಸೂತ್ರಣ / ಸಂಖ್ಯಾಕ್ಷೀಣ ವಿಭಜನೆ,,,,,,,,,
,Mellow,"ಮಾಗಿದ, ಪಕ್ವವಾದ, ಚೆನ್ನಾಗಿ ಕಳಿತ",,,,,,,,,
,Melon tree,ಪರಂಗಿ / ಪಪ್ಪಾಯಿ ಮರ,,,,,,,,,
,Mericlinal chimera,ಖಂಡವೇಷಿತ ವಿಚಿತ್ರೋತಕಿ,,,,,,,,,
,Meristem,"ವಿಭಜ್ಯೋತಕ, ತುಂಬು ಸಸಿಕುಡಿ",,,,,,,,,
,Meristem culture,ವಿಭಜ್ಯೋತಕ ಸಾಕಣೆ,,,,,,,,,
,Meristematic (Capable of cell division),"ಕೋಶವಿಭಜನಶಕ್ತ, ವಿಭಜ್ಯೋತಕೀಯ",,,,,,,,,
,Merton root stocks,ಮರ್ಟನ್ ಬೇರು ಸಸಿಗಳು,,,,,,,,,
,Mesocarp,ಮಧ್ಯ ಫಲಭಿತ್ತಿ / ಕವಚ,,,,,,,,,
,Metabolism,"ಜೀವವಸ್ತುಕರಣ, ದೇಹಗತ ಕ್ರಿಯೆ",,,,,,,,,
,Metaphase,ಮಧ್ಯಾವಸ್ಥೆ,,,,,,,,,
,Metaxenia,ಅನ್ಯಪರಾಗದಿಂದ ಸಂಭವಿಸುವ ಮಾರ್ಪಾಟು,,,,,,,,,
,Metaxylem,ತದನಂತರದ ನೀರುವಾಹಕ ಕೊಳವೆ,,,,,,,,,
,Methi,ಮೆಂತ್ಯ,,,,,,,,,
,Methyl Benzoate,ಮಿಥೈಲ್ ಬೆಂಜೊಯೇಟ್,,,,,,,,,
,Mexican tea,"ಗುಡ್ಡ ಓಮ, ಹುಳೆ ಓಮ",,,,,,,,,
,Micorrhiza,ಸೂಕ್ಷ್ಮ ಜೀವರೋಗ,,,,,,,,,
,Micro catchment area,ಸೂಕ್ಷ್ಮ ಜಲಗ್ರಾಹಿ / ಜಲಾನಯನ ಪ್ರದೇಶ,,,,,,,,,
,Micro catchments,ಸೂಕ್ಷ್ಮ ಜಲಗ್ರಾಹಿಗಳು,,,,,,,,,
,Micro climate,ಸೂಕ್ಷ್ಮ ಹವಾಮಾನ,,,,,,,,,
,Micro crystalline wax,ಸೂಕ್ಷ್ಮ ಹರಳಾಗಿರುವ ಮೇಣ,,,,,,,,,
,Micro propagation,"ಸೂಕ್ಷ್ಮ ಕಸಿತುಂಡು ಸಸ್ಯಾಭಿವರ್ದನೆ, ಸೂಕ್ಷ್ಮ ಸಸ್ಯಾಭಿವೃದ್ಧಿ",,,,,,,,,
,Micronutrients,ಸೂಕ್ಷ್ಮ ಪೋಷಕಾಂಶಗಳು,,,,,,,,,
,Micropores,ಸೂಕ್ಷ್ಮ ರಂಧ್ರಗಳು,,,,,,,,,
,Micropyle,ಬೀಜರಂಧ್ರ,,,,,,,,,
,Microspore,ಸೂಕ್ಷ್ಮ ಬೀಜಕಣ,,,,,,,,,
,Microsporogenesis,ಸೂಕ್ಷ್ಮ ಬೀಜಕಣ ಜನನ,,,,,,,,,
,Midrib,"ಎಲೆಗಳಲ್ಲಿನ ಮಧ್ಯನರ, ಎಲೆನಡುದಿಂಡು",,,,,,,,,
,Milk bush,ಬೊಂತಕಳ್ಳಿ,,,,,,,,,
,Milk weed,"ಕಳ್ಳಿ, ಕೋಲುಕಳ್ಳಿ, ಕೋಡುಕಳ್ಳಿ, ತಿರುಕಳ್ಳಿ, ಪಚಕಳ್ಳಿ, ಬೊಷ್ಟು ಕಳ್ಳಿ",,,,,,,,,
,Milkiness of seeds,ಬೀಜಗಳಲ್ಲಿ / ಕಾಳುಗಳಲ್ಲಿ ಹಾಲು ತುಂಬಿರುವುದು,,,,,,,,,
,Miniature,"ಲಘುರೂಪ, ಸೂಕ್ಷ್ಮಪ್ರತಿರೂಪ, ಸೂಕ್ಷ್ಮಗಾತ್ರದ",,,,,,,,,
,Miniature Bonsai,"ಅತಿ ಕುಬ್ಜವೃಕ್ಷ ತಟ್ಟೆಕೃಷಿ, ಸೂಕ್ಷ್ಮಗಾತ್ರದ ಬೋನ್ಸಾಯ್",,,,,,,,,
,Miniature decorative,"ಸಣ್ಣ ಗಾತ್ರದ ಅಲಂಕಾರಕ ಹೂವು, ಅತಿ ಸಣ್ಣ ಗಾತ್ರದ ಹೂ ಬಗೆ",,,,,,,,,
,Mist beds (for leafly cuttings),ತುಂತುರು ಮಡಿ (ಸಸ್ಯಾಭಿವರ್ಧನೆಯ ಎಲೆ ತುಂಡುಗಳಿಗೆ),,,,,,,,,
,Mist propagation,"ತುಂತುರು ಹನಿಯಿಂದ ಕೂಡಿದ ಸಸ್ಯಾಭಿವೃದ್ಧಿ, ತುಂತುರು ಸಸ್ಯಾಭಿವೃದ್ಧಿ",,,,,,,,,
,Mistletoe,ಒಂದು ಬಗೆಯ ಸಸ್ಯ,,,,,,,,,
,Miticide,ನುಶಿನಾಶಕ,,,,,,,,,
,Mixed border,"ಸಮ್ಮಿಶ್ರ ಸರಹದ್ದು, ಸಮ್ಮಿಶ್ರ ಅಂಚು, ಮಿಶ್ರ ಅಂಚು",,,,,,,,,
,Mixed cropping,ಮಿಶ್ರಬೆಳೆಗಳನ್ನು ಬೆಳೆಯುವುದು,,,,,,,,,
,Mixed farming,ಮಿಶ್ರ ಬೇಸಾಯ,,,,,,,,,
,Mixed inflorescence,"ಮಿಶ್ರ ಹೂಗೊಂಚಲು, ಮಿಶ್ರ ಪುಷ್ಪವಿನ್ಯಾಸ",,,,,,,,,
,Mobile huller,ಚಲಿಸುವ ಸಂಚಾರಿ ಕೊಯ್ಲು ಯಂತ್ರ,,,,,,,,,
,Mobolity,ಸಂಚಲನೆ,,,,,,,,,
,Moderate pruning,"ಮಿತವಾಗಿ ತೆಳುಮಾಡುವಿಕೆ (ಸಮರಿಕೆ), ಸಾಧಾರಣ ಪ್ರಮಾಣದ ಸಮರಿಕೆ",,,,,,,,,
,Modified leader,ಮಾರ್ಪಡಿಸಿದ ಸುಳಿ (ಕಾಂಡ ಪ್ರಧಾನ ಹಾಗೂ ತೆರೆದನೆತ್ತಿಯಾಕಾರದ ಮಧ್ಯವರ್ತಿ),,,,,,,,,
,Modified leader system,ಮಾರ್ಪಡಿಸಿದ ಸುಳಿ ಪದ್ಧತಿ,,,,,,,,,
,Modified stems,ಪರಿವರ್ತಿತ ಕಾಂಡಗಳು,,,,,,,,,
,Moisture deficiency index,ತೇವಾಂಶ ಕೊರತೆ ಸೂಚಿ,,,,,,,,,
,Mole cricket,ಮೋಲ್ ಕ್ರಿಕೆಟ್ ಕೀಟ,,,,,,,,,
,Molucca bean,"ಗಜ್ಜಿಗೆ, ಗಜ್ಜಿಗೆಕಾಯಿ, ಗಜ್ಜಿಗೆ ಮುಳ್ಳು, ಕರುಜ, ಕಾಕಚಿಕ, ಕಿರಗಜ್ಜುಗ, ಗಜ್ಜುಗ",,,,,,,,,
,Monad,ಏಕ,,,,,,,,,
,Monkey bread tree,ಬಹ್ಮಲಿಕ,,,,,,,,,
,Monkey face tree,ಕುಂಕುಮದ ಗಿಡ,,,,,,,,,
,Monkey fruit,ಬೇಲ,,,,,,,,,
,Monkey jack,"ಮಂಗಹಲಸು, ವಾಟೆಹುಳಿ, ಹೆಬ್ಬಲಸು",,,,,,,,,
,Mono delphous stamen,ಏಕಬಂಧ ಕೇಸರ,,,,,,,,,
,Mono embryonic seed progeny,ಏಕಭ್ರೂಣೀಯ ಬೀಜ ಸಂತತಿ,,,,,,,,,
,Mono locular,ಏಕಕುಹರ,,,,,,,,,
,Monocot,ಏಕದಳ,,,,,,,,,
,Monocot stem,ಏಕದಳ ಸಸ್ಯಕಾಂಡ,,,,,,,,,
,Monocrop,ಏಕಬೆಳೆ,,,,,,,,,
,Monoculture,ಏಕಬೆಳೆ ಪದ್ಧತಿ,,,,,,,,,
,Monohybrid,ಏಕ ಸಂಕರಣ,,,,,,,,,
,Monohybrid cross,ಏಕ ಸಂಕರಣ ಅಡ್ಡತಳಿ,,,,,,,,,
,Monopodial,ಏಕ ಸಂಧಿತಾಕ್ಷಿ,,,,,,,,,
,Monospecific genus,"ಏಕಪ್ರಭೇದ ಜಾತಿ, ಏಕ ವಿಶಿಷ್ಟ ಜಾತಿ",,,,,,,,,
,Monstera,"ಅಮರಫಲ, ಮಾನ್ ಸ್ಟೆರ ಗಿಡ",,,,,,,,,
,Moon flower,ಚಂದ್ರಪುಷ್ಪ (ವಾರ್ಷಿಕ ಹೂಬಳ್ಳಿ),,,,,,,,,
,Moribana,"ಹೂದಾನಿಗಳಲ್ಲಿ ಪುಷ್ಪ ಜೋಡಣೆ ವಿನ್ಯಾಸದ ಒಂದು ಬಗೆ, ಮೋರಿಖಾನ ಹೂಜೋಡಣಾ ಪದ್ಧತಿ",,,,,,,,,
,Morimono,ಹೂದಾನಿಗಳಲ್ಲಿ ಫಲಪುಷ್ಪ ತರಕಾರಿಗಳ ಸಂಯೋಜಿತ ಜೋಡಣೆ,,,,,,,,,
,Morphogenesis,ರೂಪ ವಿಕಸನ,,,,,,,,,
,Morphology,"ಆಕೃತಿ ರಚನಾ / ಬಾಹ್ಯರೂಪ ರಚನಾಶಾಸ್ತ್ರ, ಮೇಲ್ಮೈ ಲಕ್ಷಣಗಳು",,,,,,,,,
,Mosaic,"ವರ್ಣ ವಿನ್ಯಾಸ, ಮಚ್ಚೆ ವಿನ್ಯಾಸ",,,,,,,,,
,Mosquito bug,ಸೊಳ್ಳೆ ತಗಣೆ,,,,,,,,,
,Mossy rose gall,"ಗುಲಾಬಿಯಲ್ಲಿನ ಗಂಟುಗಳು, ಮಾಸಿ ಗುಲಾಬಿ ಗಂಟುಕ್ರಿಮಿ",,,,,,,,,
,Moth,ಪತಂಗ,,,,,,,,,
,Mother clump,ತಾಯಿಪೊದೆ,,,,,,,,,
,Mother vinegar,"ಮೂಲ ಹುಳಿರಸ, ಮೂಲ ವಿನಿಗರ್",,,,,,,,,
,Mound layerage,"ರೆಂಬೆಗಳಿಗೆ ಮಣ್ಣೇರಿಸುವಿಕೆ, ಕುಪ್ಪೆ ವಿಧಾನದಲ್ಲಿ ರೆಂಬೆಗಳಲ್ಲಿ ಬೇರು ಬರುವಂತೆ ಮಾಡುವಿಕೆ",,,,,,,,,
,Mound layering (stool layering),ಕುಪ್ಪೆ ವಿಧಾನದಲ್ಲಿ ಬೇರು ಬರುವಂತೆ ಮಾಡುವಿಕೆ,,,,,,,,,
,Mountain apple,ಮಲಯಾ ಪನ್ನೇರಳೆ,,,,,,,,,
,Mountain ebony (Camel's foot),(Camel's foot) ಕಂಚಿವಾಳ (ಮಾರ್ಗ ಬದಿಯ ಪುಷ್ಟಿ ವೃಕ್ಷ),,,,,,,,,
,Mountain Isle,ಗುಡ್ಡ ದ್ವೀಪ,,,,,,,,,
,Mountain litchi,"ಬೆಟ್ಟದ ಲಿಚ್ಚಿಹಣ್ಣು, ಗುಡ್ಡದಲಿಚ್ಚಿ",,,,,,,,,
,Mountain papaya,ಬೆಟ್ಟದ / ಗುಡ್ಡದ ಪರಂಗಿ,,,,,,,,,
,Mowing,ಹುಲ್ಲು ಕತ್ತರಿಸುವಿಕೆ,,,,,,,,,
,Mucilage,"ಲೋಳೆ, ಜಾರುಪದಾರ್ಥ",,,,,,,,,
,Mucilage cell,"ಅಂಟುದ್ರವಕೋಶ, ಲೋಳೆಕಣ",,,,,,,,,
,Muell Arg.,"ಸೂಲಿ, ಕರಿಹೂಲಿ, ಗುಡಫಲ, ಮಣಮುಂಡೆ",,,,,,,,,
,Mug wood,ಮಂಚಿಪತ್ರೆ,,,,,,,,,
,Mughal gardens,ಮೊಗಲ್ ಶೈಲಿಯ ತೋಟಗಳು,,,,,,,,,
,Mukkalchur,ಉದ್ದಸೀಳಿ ಅನಂತರ ಎರಡು ಮೂರು ಅಡ್ಡಸೀಳಿದ ಅಡಕೆ,,,,,,,,,
,Mulching,ಹೊದಿಕೆ ಹರಡುವುದು,,,,,,,,,
,Multi shoot plant,ಬಹುಪ್ರಕಾಂಡ ಸಸ್ಯ,,,,,,,,,
,Multi valent,ಬಹುಸಂಯೋಗಶಕ್ತ,,,,,,,,,
,Multi vitamin,ಬಹುಅನ್ನಾಂಗ / ಜೀವಸತ್ವ,,,,,,,,,
,Multi vitamin plant,ಚಕೂರ್ ಮುನಿಸ್ ಸಸ್ಯ,,,,,,,,,
,Multicellular hair,ಬಹುಕೋಶಯುಕ್ತ ತುಪ್ಪಳ / ಕೂದಲು,,,,,,,,,
,Multiple cropping,ಬಹುಬೆಳೆ ಬೆಳೆಯುವಿಕೆ,,,,,,,,,
